Book Id	Title	Sort Character	Primary Author	Primary Author Role	Secondary Author	Secondary Author Roles	Publication	Date	Review	Rating	Comment	Private Comment	Summary	Media	Physical Description	Weight	Height	Thickness	Length	Dimensions	Page Count	LCCN	Acquired	Date Started	Date Read	Barcode	BCID	Tags	Collections	Languages	Original Languages	LC Classification	ISBN	ISBNs	Subjects	Dewey Decimal	Dewey Wording	Other Call Number	Copies	Source	Entry Date	From Where	OCLC	Work id	Lending Patron	Lending Status	Lending Start	Lending End
203703819	People of the Lie: The Hope for Healing Human Evil	1	Peck, M. Scott	Author			Touchstone (1998), Edition: 2, 272 pages	1998		5			People of the Lie: The Hope for Healing Human Evil by M. Scott Peck (1998)	Paperback	8.25 inches	0.53 pounds	8.25 inches	0.7 inches	5.3125 inches	8.25 x 5.3125 x 0.7 inches									Your library	English	English	BF51 .P43	[0684848597]	0684848597, 9780684848594		616.89	Diseases > Diseases of nervous system and mental disorders > Medicine and health > Mental disorders > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			24864462				
203703823	And They Knew Each Other: The End of Sexual Violence	1	Duhm, Dieter	Author			Verlag Meiga (2019), 216 pages	2019		4			And They Knew Each Other: The End of Sexual Violence by Dieter Duhm (2019)	Paperback															Your library	English	English		[3927266620]	3927266620, 9783927266629					1	amazon.com books	[2021-07-30]			26862697				
203703833	The Path Of The Green Man: Gay Men, Wicca and Living a Magical Life	5	Ford, Michael Thomas	Author			Citadel (2005), Edition: American First, 256 pages	2005		4			The Path Of The Green Man: Gay Men, Wicca and Living a Magical Life by Michael Thomas Ford (2005)	Paperback	8.3 inches	0.52690480618 pounds	8.3 inches	0.73 inches	5.56 inches	8.3 x 5.56 x 0.73 inches	256 								Your library	English	English	BF1571.G39 F67	[080652653X]	080652653X, 9780806526539	Gay men > Miscellanea|Magic|Witchcraft|magic	133.43086642	Parapsychology And Occultism > Philosophy and Psychology > Specific Topics > Witchcraft - Sorcery > Witchcraft and Magickal Practice		1	amazon.com books	[2021-07-30]			508207				
203703845	Desert or Paradise: Restoring Endangered Landscapes Using Water Management, Including Lake and Pond Construction	1	Holzer, Sepp	Author			Chelsea Green Publishing (2012), Edition: Illustrated, 224 pages	2012		5			Desert or Paradise: Restoring Endangered Landscapes Using Water Management, Including Lake and Pond Construction by Sepp Holzer (2012)	Paperback	9.25 inches	0.95019234922 pounds	9.25 inches	0.5 inches	6.25 inches	9.25 x 6.25 x 0.5 inches									Your library	English	German	QH541.R45 H65	[1603584641]	1603584641, 9781603584647		333.95415	Animals & Wildlife In General > Biosphere and Biospheric Resources > Economics > Economics of land & energy > Hydrospheric, Atmospheric, and Biospheric Resources > Social sciences		1	amazon.com books	[2021-07-30]			13764774				
203703895	Cosmos	1	Sparrow, Giles	Author			Smith-Davies Pub (2006), Edition: 1st Edition, 224 pages	2006					Cosmos by Giles Sparrow (2006)	Hardcover	17.5 inches	9.4 pounds	17.5 inches	1.25 inches	14.5 inches	17.5 x 14.5 x 1.25 inches	224 								Your library	English	English	QB500 .S64	[1905204299]	1905204299, 9781905204298		523.1	Astronomical objects and astrophysics > Astronomy > Natural sciences and mathematics > Universe		1	amazon.com books	[2021-07-30]			1933608				
203703907	Within the Stone	1	Atkinson, Bill	Author			Browntrout Publishers (2004), 179 pages	2004		4			Within the Stone by Bill Atkinson (2004)	Hardcover	12.26 x 0.85 inches	3.75 pounds	0.85 inches	11.18 inches	12.26 inches	0.85 x 12.26 x 11.18 inches									Your library	English	English	TR732 .A88	[0763181897]	0763181897, 9780763181895	Photography in mineralogy|Photography of rocks|Rocks > Pictorial works	779.3	Nature and still life > Photographic images > Photography, computer art, cinematography, videography > The arts		1	amazon.com books	[2021-07-30]			2580304				
203703909	In Search of Stardust: Amazing Micrometeorites and Their Terrestrial Imposters	1	Larsen, Jon	Author			Voyageur Press (2017), 152 pages	2017		4			In Search of Stardust: Amazing Micrometeorites and Their Terrestrial Imposters by Jon Larsen (2017)	Hardcover	9.38 inches	1.5 pounds	9.375 inches	0.75 inches	9.375 inches	9.375 x 9.375 x 0.75 inches									Your library	English	English	QB755 .L37	[076035264X]	076035264X, 9780760352649		523.5	Astronomical objects and astrophysics > Astronomy > Meteors and zodiacal light > Natural sciences and mathematics		1	amazon.com books	[2021-07-30]			19780284				
203703913	Finding the Way Home: Poems of Awakening and Transformation (Companions for the Journey)	1	Maloney, Dennis	Editor			White Pine Press (2010), Edition: 1, 240 pages	2010					Finding the Way Home: Poems of Awakening and Transformation (Companions for the Journey) by Dennis Maloney (2010)	Paperback															Your library	English	English		[1935210122]	1935210122, 9781935210122		808	By Topic > Literature > Rhetoric and anthologies		1	amazon.com books	[2021-07-30]			10160462				
203703919	The Enneagram in Love and Work: Understanding Your Intimate and Business Relationships	5	Palmer, Helen	Author			HarperOne (1995), Edition: 1, 432 pages	1995		5			The Enneagram in Love and Work: Understanding Your Intimate and Business Relationships by Helen Palmer (1995)	Paperback	8 inches	0.74075320032 pounds	8 inches	0.97 inches	5.31 inches	8 x 5.31 x 0.97 inches									Your library	English	English	BF698.E54 P35	[0062507214]	0062507214, 9780062507211	Enneagram	155.26	Developmental And Differential Psychology > Individual Psychology > Personality Types > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-07-30]			39413				
203703942	Gay Witchcraft: Empowering the Tribe	1	Penczak, Christopher	Author			Red Wheel/Weiser (2003), 288 pages	2003		4			Gay Witchcraft: Empowering the Tribe by Christopher Penczak (2003)	Paperback	8.94 inches	1.10231131 pounds	8.94 inches	0.88 inches	6.1 inches	8.94 x 6.1 x 0.88 inches	265 								Your library	English	English	BF1571.G39 P46	[1578632811]	1578632811, 9781578632817	Gays > Miscellanea|Witchcraft	133.4308664	Parapsychology And Occultism > Philosophy and Psychology > Specific Topics > Witchcraft - Sorcery > Witchcraft and Magickal Practice		1	amazon.com books	[2021-07-30]			470136				
203703946	Sex at Dawn: The Prehistoric Origins of Modern Sexuality	1	Ryan, Christopher	Author			Harper (2010), Edition: 1, 416 pages	2010		5			Sex at Dawn: The Prehistoric Origins of Modern Sexuality by Christopher Ryan (2010)	Hardcover	9 inches	1.2 pounds	9 inches	1.29 inches	6 inches	9 x 6 x 1.29 inches	416 								Your library	English	English	HQ12 .R93	[0061707805]	0061707805, 9780061707803		306.7	Culture and Institutions > Relations between the sexes, sexualities, love > Social Sciences > Social sciences		1	amazon.com books	[2021-07-30]			10020301				
203703948	When God Was a Woman	1	Stone, Merlin	Author			Marboro Books (1990), 265 pages	1990		5			When God Was a Woman by Merlin Stone (1990)	Hardcover		1.10231131 pounds	8.2 inches	1.1 inches	5.8 inches	8.2 x 5.8 x 1.1 inches	265 								Your library	English	English	BL458 .S76	[0880295333]	0880295333, 9780880295338	Women and religion	291.211	Comparative Religion; Mythology (No Longer Used) > Gods & Goddesses > Other Religions > Religions > Theological Conceptions and Doctrines / Comperative religion > Various Objects of Worship		1	amazon.com books	[2021-07-30]			112299				
203703950	Sacred Pleasure: Sex, Myth, and the Politics of the Body	1	Eisler, Riane	Author			Harpercollins (1995), Edition: 1, 512 pages	1995		5			Sacred Pleasure: Sex, Myth, and the Politics of the Body by Riane Eisler (1995)	Hardcover		1.45 pounds	9.4 inches	1.7 inches	6.6 inches	9.4 x 6.6 x 1.7 inches	512 								Your library	English	English	HQ12 .E47	[006250293X]	006250293X, 9780062502933	Body, Human > Religious aspects|Sex > Religious aspects|Sex customs > History	306.709	Biography And History > Culture and Institutions > Relations between the sexes, sexualities, love > Social Sciences > Social sciences		1	amazon.com books	[2021-07-30]			76901				
203703959	Temple of Love	1	Lichtenfels, Sabine	Author			Verlag Meiga (2011), 276 pages	2011		5			Temple of Love by Sabine Lichtenfels (2011)	Paperback	9.02 inches	0.89948602896 pounds	9.01573 inches	0.6228334 inches	5.98424 inches	9.01573 x 5.98424 x 0.6228334 inches									Your library	English	English		[3927266442]	3927266442, 9783927266445					1	amazon.com books	[2021-07-30]			26862717				
203703962	Eros Unredeemed	1	Duhm, Dieter	Author			Verlag Meiga (2010), 184 pages	2010		4			Eros Unredeemed by Dieter Duhm (2010)	Paperback		0.45 pounds	8.8 inches	0.6 inches	6 inches	8.8 x 6 x 0.6 inches	184 								Your library	English	English		[3927266132]	3927266132, 9783927266131					1	amazon.com books	[2021-07-30]			11302832				
203703963	Towards a New Culture	1	Duhm, Dieter	Author			Verlag Meiga (2012), 128 pages	2012		5			Towards a New Culture by Dieter Duhm (2012)	Paperback															Your library	English	English		[392726637X]	392726637X, 9783927266377					1	amazon.com books	[2021-07-30]			26862720				
203703967	Setting Foundations for a New Civilization	1	Winiecki, Martin	Editor			Verlag Meiga (2013), Edition: Illustrated, 124 pages	2013		5			Setting Foundations for a New Civilization by Martin Winiecki (2013)	Paperback	7.81 inches	0.27998707274 pounds	7.81 inches	0.26 inches	5.06 inches	7.81 x 5.06 x 0.26 inches									Your library	English	English		[3927266477]	3927266477, 9783927266476					1	amazon.com books	[2021-07-30]			26862721				
203703969	The Sacred Matrix	5	Duhm, Dieter	Author			Verlag Meiga (2008), 420 pages	2008		5			The Sacred Matrix by Dieter Duhm (2008)	Paperback															Your library	English	English		[3927266167]	3927266167, 9783927266162		141	Idealism; Transcendentalism > Philosophical Systems > Philosophy and Psychology		1	amazon.com books	[2021-07-30]			20710322				
203703973	The Goddesses and Gods of Old Europe: Myths and Cult Images	5	Gimbutas, Marija	Author			University of California Press (2007), Edition: First, 304 pages	2007					The Goddesses and Gods of Old Europe: Myths and Cult Images by Marija Gimbutas (2007)	Paperback	9.5 inches	1.2 pounds	9.5 inches	0.9 inches	7.25 inches	9.5 x 7.25 x 0.9 inches	304 								Your library	English	English	GN803 .G55	[0520253981]	0520253981, 9780520253988	Europe > Antiquities|Goddesses > Europe|Goddesses, Prehistoric > Europe|Prehistoric peoples > Europe|Religion, Prehistoric > Europe	936	Ancient World > Europe north and west of Italian Peninsula to ca. 499 > History and Geography		1	amazon.com books	[2021-07-30]			383278				
203703975	We Need Each Other: Building Gift Community	1	Kauth, Bill	Author			Silver Light Publications (2011), 166 pages	2011		4			We Need Each Other: Building Gift Community by Bill Kauth (2011)	Paperback	11 inches		11 inches	0.38 inches	8.5 inches	11 x 8.5 x 0.38 inches									Your library	English	English		[0974489093]	0974489093, 9780974489094		302.3	Social Interaction > Social Sciences > Social interaction within groups > Social sciences		1	amazon.com books	[2021-07-30]			22562926				
203703979	The Language of the Goddess: Unearthing the Hidden Symbols of Western Civilization	5	Gimbutas, Marija Alseikaite	Author			Harper & Row (1989), 388 pages	1989					The Language of the Goddess: Unearthing the Hidden Symbols of Western Civilization by Marija Alseikaite Gimbutas (1989)	Hardcover		4 pounds	11 inches	1.5 inches	9.6 inches	11 x 9.6 x 1.5 inches	388 								Your library	English	English	BL473 .G55	[0500014809]	0500014809, 9780500014806	Goddesses|Goddesses in art|Goddesses, Prehistoric|Gods in art|Prehistoric peoples > Europe|Religion, Prehistoric > Europe|Symbolism|goddesses|symbolism	291.042	Comparative Religion; Mythology (No Longer Used) > Essays > Other Religions > Religions		1	amazon.com books	[2021-07-30]			51058				
203703986	Debt: The First 5,000 Years	1	Graeber, David	Author			Melville House (2011), Edition: 1st Edition, 544 pages	2011		5			Debt: The First 5,000 Years by David Graeber (2011)	Hardcover	9.28 inches	1.7085825305 pounds	9.28 inches	1.79 inches	6.25 inches	9.28 x 6.25 x 1.79 inches	544 								Your library	English	English	HG3701 .G73	[1933633867]	1933633867, 9781933633862		332	Economics > Finance > Social sciences		1	amazon.com books	[2021-07-30]			9530527				
203703988	The Post-Corporate World: Life After Capitalism	5	Korten, David C.	Author			Berrett-Koehler Publishers (2000), Edition: 1, 336 pages	2000					The Post-Corporate World: Life After Capitalism by David C. Korten (2000)	Paperback															Your library	English	English	HD2731 .K67	[1887208038]	1887208038, 9781887208031	Big business|Business ethics|Capitalism|Corporations|Industrial policy|Social resposibility of business|Sustainable development|capitalism	338.644	Big Business > Business > Economics > Guilds > Production > Social sciences		1	amazon.com books	[2021-07-30]			555122				
203703990	Agenda for a New Economy: From Phantom Wealth to Real Wealth	1	Korten, David C.	Author			Berrett-Koehler Publishers (2009), Edition: First Edition, 216 pages	2009		5			Agenda for a New Economy: From Phantom Wealth to Real Wealth by David C. Korten (2009)	Paperback		0.55 pounds	8.4 inches	0.5 inches	5.5 inches	8.4 x 5.5 x 0.5 inches	196 								Your library	English	English	HC106 .K67	[9781605092898]	9781605092898, 1605092894		330.973	Economic geography and history > Economics > Economics > North America > Social sciences > United States		1	amazon.com books	[2021-07-30]			7723659				
203703991	When Corporations Rule the World	1	Korten, David C.	Author			Kumarian Press (2001), Edition: 2nd, 385 pages	2001		5			When Corporations Rule the World by David C. Korten (2001)	Paperback	8.96 inches	1.4109584768 pounds	8.96 inches	1.06 inches	6.06 inches	8.96 x 6.06 x 1.06 inches	385 								Your library	English	English	HD2326	[1887208046]	1887208046, 9781887208048	Big business|Business and politics|Corporations > Political aspects|Industrialization > Social aspects|Industries > Environmental aspects|International business enterprises|International economic relations|Power (Social sciences)|Sustainable development|power (social sciences)	322.3	Business and industry > Political Science  > Relation of the state to organized groups and their members > Social sciences		1	amazon.com books	[2021-07-30]			63770				
203703994	The Great Turning: From Empire to Earth Community	5	Korten, David C.	Author			Berrett-Koehler (2006), 402 pages	2006		5			The Great Turning: From Empire to Earth Community by David C. Korten (2006)	Hardcover	9.71 inches	547 pounds	9.71 inches	1.11 inches	6.38 inches	9.71 x 6.38 x 1.11 inches	402 								Your library	English	English	JZ1318 .K67	[1887208070]	1887208070, 9781887208079	Cooperation|Economic History|Economic history|Human ecology|Humanistic ethics|International Cooperation|International cooperation|Social Justice|Social ethics|Social justice|Sustainable development|human ecology|international cooperation	302.14	General topics of social interaction > Social Interaction > Social Sciences > Social participation > Social sciences		1	amazon.com books	[2021-07-30]			854173				
203704000	Collapse: How Societies Choose to Fail or Succeed	1	Diamond, Jared	Author			Penguin Books (2005), 575 pages	2005		4			Collapse: How Societies Choose to Fail or Succeed by Jared Diamond (2005)	Paperback	8.5 inches	1.1 pounds	8.5 inches	1.1 inches	5.6 inches	8.5 x 5.6 x 1.1 inches	575 								Your library	English	English	HN13	[0143036556]	0143036556, 9780143036555	Civilization > History|Civilization > history|Environment|Environmental policy > Case studies|Social Conditions > history|Social change > Case studies|Social history > Case studies	304.28	Factors affecting social behavior > Human ecology > Social Sciences > Social sciences		1	amazon.com books	[2021-07-30]			1070881				
203704001	The Twilight of American Culture	5	Berman, Morris	Autor			WW Norton & Co (2007), Edition: New edition, 224 pages	2007					The Twilight of American Culture by Morris Berman (2007)	Hardcover	8.5 inches	0.95 pounds	8.5 inches	1 inch	6.25 inches	8.5 x 6.25 x 1 inches	224 								Your library	English	English	E169 .B394	[0393048799]	0393048799, 9780393048797	Corporations > United States > Sociological aspects|Education, Humanistic > United States > Philosophy|Mass society|Monastic and religious life > Europe > History|Monastic and religious life > Europe > History > Middle Ages, 600-1500|Popular culture > United States|United States > Civilization > 1970-|United States > Social conditions > 1980-	306	Culture and Institutions > Social Sciences > Social sciences		1	amazon.com books	[2021-07-30]			53757				
203704013	When Gadgets Betray Us	1	Vamosi, Robert	Author			Basic Books (2013), Edition: Reprint, 240 pages	2013		4			When Gadgets Betray Us by Robert Vamosi (2013)	Paperback	9.21 inches	0.65 pounds	9.21 inches	0.61 inches	6.14 inches	9.21 x 6.14 x 0.61 inches									Your library	English	English	QA76.C66 V36	[9780465031382]	9780465031382, 0465031382		004.167	By Computer Type > Computer science > Computing and Information > Information > Mobile computing devices > Personal Computers		1	amazon.com books	[2021-07-30]			10970022				
203704014	Capitalism 3.0: A Guide to Reclaiming the Commons	1	Barnes, Peter	Author			Berrett-Koehler Publishers (2006), Edition: 1, 195 pages	2006		5			Capitalism 3.0: A Guide to Reclaiming the Commons by Peter Barnes (2006)	Hardcover	9.48 inches	0.00220462262 pounds	9.48 inches	0.78 inches	6.42 inches	9.48 x 6.42 x 0.78 inches	195 								Your library	English	English	HD1289.U6 B37	[9781576753613]	9781576753613, 1576753611	Capitalism > United States|Commons > United States|Privatization > United States	333.2	Community ownership > Economics > Economics of land & energy > Social sciences		1	amazon.com books	[2021-07-30]			1637377				
203704016	The Democratic Corporation: A Radical Prescription for Recreating Corporate America and Rediscovering Success	5	Ackoff, Russell L.	Author			Oxford University Press (1994), 272 pages	1994		5			The Democratic Corporation: A Radical Prescription for Recreating Corporate America and Rediscovering Success by Russell L. Ackoff (1994)	Hardcover															Your library	English	English	HD38 .A27	[9780195087277]	9780195087277, 0195087275	Industrial management|industrial management	658	Management > Management and auxiliary services > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			568001				
203704022	Delete: The Virtue of Forgetting in the Digital Age	1	Mayer-Sch̦nberger, Viktor	Author			Princeton University Press (2009), 256 pages	2009		5			Delete: The Virtue of Forgetting in the Digital Age by Viktor Mayer-Sch̦nberger (2009)	Hardcover		0.95 pounds	8.5 inches	0.9 inches	5.6 inches	8.5 x 5.6 x 0.9 inches	256 								Your library	English	English	BF371 .M375	[0691138613]	0691138613, 9780691138619		153.125	Cognition And Memory > Forgetting > Learning, Memory, And Motivation > Memory > Philosophy and Psychology > Psychology		1	amazon.com books	[2021-07-30]			8721443				
203704025	You Are Not a Gadget: A Manifesto	1	Lanier, Jaron	Author			Knopf (2010), Edition: 1, 224 pages	2010		5			You Are Not a Gadget: A Manifesto by Jaron Lanier (2010)	Hardcover	8.73 inches	0.81 pounds	8.73 inches	0.9 inches	5.84 inches	8.73 x 5.84 x 0.9 inches	224 								Your library	English	English	HM851 .L358	[0307269647]	0307269647, 9780307269645		303.4833	Causes of change > Communication, information technology > Development of science and technology > Social Processes > Social Sciences > Social change > Social sciences		1	amazon.com books	[2021-07-30]			8749061				
203704030	Zen and the Art of Motorcycle Maintenance: An Inquiry into Values	1	Pirsig, Robert M	Author			HarperTorch (2006), Edition: 1st, 540 pages	2006		5			Zen and the Art of Motorcycle Maintenance: An Inquiry into Values by Robert M Pirsig (2006)	Paperback	6.75 inches	0.6 pounds	6.75 inches	1.12 inches	4.1875 inches	6.75 x 4.1875 x 1.12 inches	560 								Your library	English	English	CT275.P648 A3	[0060589469]	0060589469, 9780060589462	Fathers and sons > United States|Motorcycles > Maintenance and repair|Philosophy and civilization|Philosophy, American > 20th century|Pirsig, Robert M|Pirsig, Robert M. > Journeys > United States|Self|United States > Description and travel|Values|Zen Buddhism and science|self	813	American fiction > English (North America) > Literature		1	amazon.com books	[2021-07-30]			1008				
203704041	The Millennial Project: Colonizing the Galaxy in Eight Easy Steps	5	Savage, Marshall T.	Author			Little Brown & Co (1994), Edition: Reprint, 508 pages	1994		5			The Millennial Project: Colonizing the Galaxy in Eight Easy Steps by Marshall T. Savage (1994)	Paperback	9.25 inches	0.7 pounds	9.25 inches	1.5 inches	6.25 inches	9.25 x 6.25 x 1.5 inches	508 								Your library	English, Undetermined	English	TL795 .S28	[0316771635]	0316771635, 9780316771634	SPACE COLONIES|Space colonies	629.4	Astronauts and Space Travel  > Engineering and allied operations > Other Branches > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			57275				
203704045	The Electric Sky	5	Scott, Donald E.	Author			Mikamar Publishing (2006), Edition: 1, 256 pages	2006		5			The Electric Sky by Donald E. Scott (2006)	Paperback	9 x 0.5 inches	1.25 pounds	0.5 inches	6 inches	9 inches	0.5 x 9 x 6 inches	256 								Your library	English		QC961.T467	[0977285111]	0977285111, 9780977285112		520	Astronomy > Astronomy > Natural sciences and mathematics		1	amazon.com books	[2021-07-30]			5054276				
203704048	Thunderbolts of the Gods	1	David Talbott & Wallace Thornhill	Author			Mikamar Publishing (2005), 107 pages	2005		5			Thunderbolts of the Gods by David Talbott & Wallace Thornhill (2005)	Paperback		1.1904962148 pounds													Your library	English	English		[0977285103]	0977285103, 9780977285105					1	amazon.com books	[2021-07-30]			5054271				
203704049	The Checklist Manifesto: How to Get Things Right	5	Gawande, Atul	Author			Picador (2011), Edition: 1, 240 pages	2010		5			The Checklist Manifesto: How to Get Things Right by Atul Gawande (2010)	Paperback	8.27 inches	0.5 pounds	8.2700622 inches	0.65 inches	5.55 inches	8.2700622 x 5.55 x 0.65 inches	240 								Your library	English	English	RA399.A1 G39	[9780312430009]	9780312430009, 0312430000		610.289	Auxiliary techniques and procedures; apparatus, equipment, materials > Compends > Medicine > Medicine and health > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			8891944				
203704052	Shackleton's Way: Leadership Lessons from the Great Antarctic Explorer	1	Morrell, Margot	Author			Penguin Books (2002), 256 pages	2002		5			Shackleton's Way: Leadership Lessons from the Great Antarctic Explorer by Margot Morrell (2002)	Paperback	7.92 inches	0.5 pounds	7.92 inches	0.53 inches	5.25 inches	7.92 x 5.25 x 0.53 inches	256 								Your library	English	English	HD57 .M668	[9780142002360]	9780142002360, 0142002364	Antarctica > British|Antarctica > Discovery and exploration > British|Explorers > Antarctica|Leadership|Shackleton, Ernest Henry, Sir, 1874-1922|Strategic planning|Survival skills|Teams in the workplace|leadership|strategic planning	658.4012	Executive > Management > Management and auxiliary services > Planning, control, strategy > Strategy > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			3787				
203704053	The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich	5	Ferriss, Timothy	Author			Harmony (2007), Edition: 1st, First Edition, 320 pages	2007		4			The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich by Timothy Ferriss (2007)	Hardcover		1 pounds	8.1 inches	1.3 inches	5.6 inches	8.1 x 5.6 x 1.3 inches	320 								Your library	English	English	HD6955 .F435	[0307353133]	0307353133, 9780307353139	Part-time self-employment|Quality of Life|Quality of life|Quality of work life|Self-actualization (Psychology)|Self-actualization (psychology)|Self-realization	650.1	Business > Management and auxiliary services > Personal success in business > Technology and Application of Knowledge		1	amazon.com books	[2021-07-30]			2174241				
203704054	It's Not Luck	1	Goldratt, Eliyahu M.	Author			North River Press (1994), Edition: 1, 283 pages	1994		5			It's Not Luck by Eliyahu M. Goldratt (1994)	Paperback	9 inches	1.06 pounds	9 inches	0.75 inches	6 inches	9 x 6 x 0.75 inches	283 								Your library	English	English	PR9510.G64	[9780884271154]	9780884271154, 0884271153		823	English fiction > English {except North American} > Literature		1	amazon.com books	[2021-07-30]			228270				
